id,partisan_score
4268670137,1
815871284,-0.878
46637282,-0.333
15347644,-0.373
70300794,0.429
9.97E+17,NA
7.66E+17,NA
636681947,1
597297885,1
228109019,0.846
57292184,NA
3271255423,0.829
308321267,0
8.40E+17,NA
7.14E+17,NA
32822134,0.971
37813045,1
146746740,1
526794855,1
2227722763,0.6
1159570938,1
1608587778,-1
2201496456,0.667
205371115,1
2320660100,0.5
1421978605,NA
3315618334,0.556
2967100787,1
1540451515,1
9.57E+17,NA
461261482,NA
2321279598,1
338633208,1
478304839,0.946
423840360,1
823454042,0.911
619445394,NA
227163090,NA
2707632522,1
348159792,NA
52477148,0.6
18211084,NA
43366645,1
15256895,NA
290920331,-0.833
27554271,1
8.87E+17,NA
125630810,1
1343300730,0.903
2915954031,1
2348901577,NA
68270085,1
380615331,NA
525857359,-0.415
1140436597,0.6
493971121,0.75
1078322076,0.6
914254440,1
308205570,0.889
560035562,0.806
8.04E+17,NA
240828648,0.562
8.72E+17,NA
552342881,0.556
207703739,1
10621932,0.782
253637278,0.895
1630672904,0.962
288934158,1
372787472,0.778
29095917,1
2531172553,1
7.51E+17,NA
3207497417,-0.25
381031561,0.909
345995059,0.333
2946492251,0
42418695,0.846
7.85E+17,NA
251869750,0.333
2687350262,0.5
49698441,0.929
977087550,NA
1869523958,0.939
349049168,1
1509443935,0.931
2841504093,0.8
885474422,0.922
3352672901,NA
240318436,1
340481991,1
157438443,1
2432830728,-1
3006690178,1
8.85E+17,NA
612931307,0.826
136788408,1
1423123200,0.556
27007685,0
3418588623,0.818
52989817,0.961
2998532843,0.857
2248127619,NA
7.94E+17,NA
2608452822,0.953
4746198495,1
1398528284,1
9.12E+17,NA
13964152,1
3333795492,1
825270691,1
506536593,1
9.91E+17,NA
371376316,1
3035178282,1
521996289,-1
9.42E+17,NA
36028927,1
2362146442,0.833
1284385014,-1
33237036,NA
442569146,0
26580559,0.867
1884977676,-0.928
1523692830,NA
74138446,1
613802332,1
2880236115,1
8.68E+17,NA
3526430362,1
8.31E+17,NA
7.11E+17,NA
175339579,-1
2912957057,1
8.83E+17,NA
430441622,1
212273141,1
1538993023,NA
8.25E+17,NA
426838321,1
3140868280,NA
245750555,-0.455
1611503244,1
1132637930,0.926
30101545,0.862
3040066599,0.333
21772402,0.941
2954187002,NA
340121606,1
400475649,0.979
3293407354,1
2168526940,1
71384704,0.829
754173968,NA
2504143856,1
4322065997,-0.643
364246876,-1
1476036282,1
2334373277,0.949
9.73E+17,NA
123873223,1
16693494,-0.875
752176626,1
2257614260,NA
1467345817,1
2339945854,NA
124730664,0.92
353432348,-0.333
2562268036,1
2846662750,1
152692049,1
2473282554,1
2386087811,1
393264911,1
1270040346,0.241
4729045654,NA
1218327505,0.953
434388473,0.625
7.52E+17,NA
570816464,1
1029872767,0.818
21840553,1
452098509,0.778
46710991,0.84
2871909807,0.913
1377697274,1
3033801688,1
9.83E+17,NA
1725119731,1
389521252,0.818
3242282429,1
3435940588,0.865
175243720,1
3124509220,1
9.03E+17,NA
108803136,0.818
2204994903,NA
2705030808,0.958
2380549591,1
2190334998,-1
9.13E+17,NA
2443124505,0.857
2214793560,-1
259382116,1
3037519733,1
1219579814,NA
400469021,-0.765
2455478245,0.818
2944410062,0.917
721263993,1
294830333,-0.833
7.89E+17,NA
52191473,0.714
9.01E+17,NA
1011865646,1
18078448,-1
1346050812,0.9
22789029,1
555450691,0.875
7.29E+17,NA
46448402,1
32719522,0.917
28765793,0.429
8.64E+17,NA
243585063,0
1908232255,1
7.69E+17,NA
1851877248,0.871
8.75E+17,NA
501583288,0.364
52958962,0.92
8.29E+17,NA
284291761,-0.85
4505583455,1
8.93E+17,NA
2248922893,1
43948485,1
35926848,0.913
15262741,1
50478299,-0.857
9.69E+17,NA
35887395,1
381686932,1
195697458,0
8.21E+17,NA
2326604153,NA
124412467,0.714
35680069,0.875
926339581,1
718930349,0.939
17204460,-0.947
2538330252,0.931
30315515,0.92
223535580,1
9.63E+17,NA
8.27E+17,NA
923634799,-0.091
795630211,-0.419
2294193683,-1
93341319,-1
898979912,-0.946
189496721,-0.877
2680194549,-0.922
2198842652,-0.729
1881402330,-0.778
26417015,-1
18299355,0.161
3150800516,1
49800332,-0.98
8.49E+17,NA
8.16E+17,NA
2750799759,-0.934
1410527701,0.818
259121785,NA
1655198150,1
91865200,-0.943
574610719,-0.829
244973299,NA
632279524,-0.967
8.52E+17,NA
601890937,-0.8
2777532764,-0.6
4158021141,-1
7.49E+17,NA
2756585388,-0.846
149763376,-0.927
7.08E+17,NA
942422990,-0.864
457743272,-1
572965711,-1
3013190934,-0.893
2900266259,-1
292898515,-1
30112633,-0.832
920257832,-0.836
7.13E+17,NA
57790324,0.923
1867750286,-0.961
570841936,-1
542605425,-0.933
156306739,-0.833
563924333,-1
859780896,1
1965129498,-1
987742428,-1
612817586,-0.875
141938077,NA
7.59E+17,NA
24046130,-0.735
2413332228,-0.875
910419943,-1
1579596458,-0.8
353379283,-0.695
2662929002,-0.902
837009806,-1
291780711,-1
7.79E+17,NA
45673524,-0.883
1443465937,-1
58361723,-0.611
301048344,-0.822
17537020,-0.92
8.34E+17,NA
74149816,-0.913
18360735,-0.882
9.28E+17,NA
4440595215,-0.933
3230917482,-1
1729758474,-0.913
4534461314,-1
22844639,-0.84
61399101,-0.833
47140656,0
2766603077,-0.806
8.61E+17,NA
30811054,-0.806
8.96E+17,NA
3942640092,NA
4937061,-0.864
249219330,-1
15677734,-0.667
873770179,0.778
2902773399,-1
76941017,-1
216736363,-0.867
82241627,-0.6
43258164,-0.778
201128260,-1
14758527,-0.926
31897231,-1
148237540,-1
407055170,-1
807865098,-1
357860827,-0.925
49389371,-0.488
229695209,-0.862
279270981,0.917
23232650,-1
3011322340,-1
1071490063,-0.817
1498560176,NA
317375275,0.769
22292787,0.774
42247052,-1
804430039,-0.765
3091880673,-1
987844879,-0.6
1308814038,-1
15577545,-0.946
8.82E+17,NA
39384103,-0.733
1587277334,-0.75
4697664391,-0.655
9.99E+17,NA
247341713,-0.152
1099290475,-0.818
355563375,0.84
1926381835,-0.83
47556937,-1
4879347977,-1
2677933872,1
1897328731,-0.8
4868688743,-0.907
179899972,0.6
8.24E+17,NA
114048914,-0.917
129264927,-1
7.54E+17,NA
21458110,-0.932
1383905040,-0.769
16316179,-0.825
1537352035,-0.898
363070453,-0.733
7.09E+17,NA
2378324935,-0.878
1939118838,-0.895
2598357146,-1
255807625,-0.833
41153898,-0.797
20003481,-1
572282251,-0.889
8.79E+17,NA
770492281,-0.333
3253228622,-0.6
140224471,1
7.96E+17,NA
4441986089,-0.733
192326872,1
30586620,-0.981
72994171,0.988
2905369549,-0.919
1356728540,1
2553547478,-1
710882693,-1
173242630,0.692
330145442,-0.485
3935553925,-0.619
274369575,-0.727
3380761420,NA
2491664966,-1
467024694,-1
362257379,0.905
564257648,1
2510918743,-0.973
67875296,-0.835
43545377,NA
446723142,0.114
8.08E+17,NA
1341587527,-0.143
2898210073,-1
214492262,-0.875
4296218774,-0.581
24329569,-0.6
2750341247,-0.824
263282373,-0.802
19088288,-0.975
236584290,-0.961
27493883,-0.904
388602710,-1
1345940180,-0.652
1471019448,-0.684
3834645913,-0.857
150777984,-0.875
621164749,-0.939
3428100550,-0.84
2364618936,-1
7.24E+17,NA
1643123766,NA
3035474554,0.667
820596079,-1
548757643,0.882
33734273,-0.676
495066576,-1
134971995,-0.83
271989352,-0.707
150818607,-0.5
27873469,-1
1909483010,-1
114549208,-1
16088941,-1
2853530953,-0.946
570269636,-0.872
20115368,-1
240538568,NA
25911963,-0.969
1149747295,-0.917
104904572,-1
1231590638,0
47799548,NA
9.58E+17,NA
7.71E+17,NA
78787098,-1
198416373,-0.922
634755275,0.429
291789016,-0.708
3282955777,NA
122148117,-1
2339733614,-1
555227531,0.333
324834702,-1
8.88E+17,NA
9.85E+17,NA
7.47E+17,NA
203232961,-1
2391585170,-0.333
2557859383,-1
3359231747,0.579
7.42E+17,NA
8.59E+17,NA
8.66E+17,NA
204534066,-0.678
2984843502,-0.75
1929624919,-0.662
329708303,-0.807
15587953,-0.538
19895837,-1
17849506,-0.895
2842034452,-0.91
35710323,-0.652
75118422,-0.945
880624412,-0.927
4230938057,-0.855
9.95E+17,NA
343096504,-0.818
267635200,-0.379
1110728904,-1
393701691,-0.852
18006752,-0.75
14944543,-0.933
8.22E+17,NA
634127491,1
374397850,1
86669274,-1
228736760,0.864
8.23E+17,NA
1369120051,0.333
8.99E+17,NA
378147040,-1
967356481,-0.833
2344678944,NA
2400916699,-0.68
7.81E+17,NA
578898780,-0.905
9.54E+17,NA
8.01E+17,NA
195610523,-0.439
9.76E+17,NA
122387014,-0.927
8.02E+17,NA
6107302,-1
9.15E+17,NA
385678932,1
7.37E+17,NA
866725526,1
17372783,-0.955
3573191833,-0.933
2212472492,-0.692
