"id","partisan_score","misinfo_score","misinfo_score_weighted"
7.05e+17,NA,NA,NA
293214011,NA,NA,NA
8.3e+17,NA,NA,NA
2710721406,0.7,0.625,0.617
303517434,0.714,0.7,0.659
17686959,-1,0.473,0.47
1471947782,NA,NA,NA
450247292,NA,NA,NA
9.37e+17,NA,NA,NA
9.31e+17,NA,NA,NA
269486246,0.6,0.813,0.915
2607354599,NA,NA,NA
8.6e+17,NA,NA,NA
2651240916,-0.2,0.532,0.385
2363270203,1,0.612,0.619
8.42e+17,NA,NA,NA
7.78e+17,NA,NA,NA
2788230452,NA,NA,NA
8.73e+17,NA,NA,NA
386431613,0.778,0.667,0.613
8.46e+17,NA,NA,NA
114707915,1,0.783,0.783
2911791824,1,0.756,0.824
8.97e+17,NA,NA,NA
1273201524,1,0.732,0.767
4919902260,-0.5,0.62,0.484
8.65e+17,NA,NA,NA
924832128,0.826,0.657,0.567
1392450798,1,0.646,0.584
21178239,1,0.783,0.723
1.23e+18,NA,NA,NA
2744205720,0.333,0.676,0.678
9.16e+17,NA,NA,NA
19149911,1,0.712,0.66
135940735,0.6,0.611,0.606
49511290,1,0.75,0.722
397607753,1,0.646,0.66
3238459861,1,0.734,0.835
9.05e+17,NA,NA,NA
123104786,1,0.732,0.759
879637374,0.76,0.679,0.715
4632782667,1,0.77,0.77
222768222,0.143,0.544,0.558
2982107588,-1,0.483,0.431
2961022342,1,0.812,0.811
286467155,1,0.733,0.687
1055536236,1,1.034,1.061
3147430363,1,0.589,0.517
1027112576,1,0.674,0.686
371485193,-1,0.362,0.346
604932009,1,0.751,0.745
7.15e+17,NA,NA,NA
3160381099,1,0.668,0.649
518546619,1,0.719,0.731
1537533012,0.739,0.656,0.647
2436868567,NA,NA,NA
35184097,0.778,0.759,0.782
148913740,1,0.629,0.595
467841441,-0.551,0.433,0.378
709560893,0.867,0.709,0.658
1.43e+18,NA,NA,NA
633755734,1,0.711,0.687
39311062,1,0.666,0.662
8.7e+17,NA,NA,NA
3016741856,NA,NA,NA
2280717962,0,0.413,0.439
858101395,NA,0.625,0.619
1691497362,1,0.804,0.865
820187383,-0.989,0.445,0.424
2345690571,0.429,0.664,0.741
201463757,0.556,0.597,0.686
700350529,0.75,0.711,0.657
383583763,0.908,0.685,0.704
16833763,1,0.821,0.794
625192044,0,0.673,0.714
1.06e+18,NA,NA,NA
3935792619,NA,0.775,0.776
4865585571,0.778,0.694,0.697
186426166,1,0.83,0.859
605688080,0.714,0.647,0.757
82679357,0.5,0.518,0.517
26713564,1,0.794,0.826
378251280,0.667,0.638,0.62
122067157,0.778,0.742,0.672
373650170,0.846,0.704,0.642
476789609,0.8,0.621,0.634
609349859,1,0.783,0.783
7.39e+17,NA,NA,NA
29269648,0.714,0.717,0.776
1400560460,1,0.711,0.544
1.08e+18,NA,NA,NA
8.98e+17,NA,NA,NA
1.01e+18,NA,NA,NA
1046763757,0.778,0.704,0.711
104850722,1,0.664,0.668
586635398,0.854,0.67,0.653
384702237,0.895,0.654,0.725
26426067,1,0.72,0.724
3044805941,0,0.601,0.668
1106474293,0.714,0.727,0.649
2774966905,0.9,0.757,0.714
2285927430,NA,NA,NA
2591622193,NA,0.5,0.5
1.12e+18,NA,NA,NA
3026544352,0.95,0.705,0.719
3073810256,0.556,0.644,0.655
556006077,NA,NA,NA
7.95e+17,NA,NA,NA
206999288,0.867,0.71,0.715
9.94e+17,NA,NA,NA
4396704435,1,0.488,0.488
4303301236,0.947,0.693,0.674
7.82e+17,NA,NA,NA
402810340,-0.5,0.776,0.796
